"NEW.ID","CID","GROUP","BGD.MORALITY","BGD.TOTAL","BGD.SPECCODE","BGD.MORPROP","BGD.MORVIRTPROP","BGD.SPECPROP","RAG.ORDER","RAG.CHECK","DG.ORDER","DG.CHECK","CHILDREN","MAT","DIEPUN","OMNI.BG","MORINDEX","TYPE","SELF","RAG","Y"
1020,1964,"Lovu Fiji",1,3,1,0.333333333333333,0.333333333333333,0.333333333333333,1,0,0,NA,4,1,1,1,3.33333333333333,"RAG.SELF",1,1,19
1020,1964,"Lovu Fiji",1,3,1,0.333333333333333,0.333333333333333,0.333333333333333,1,0,0,NA,4,1,1,1,3.33333333333333,"DG.LOCAL",0,0,NA
1020,1964,"Lovu Fiji",1,3,1,0.333333333333333,0.333333333333333,0.333333333333333,1,0,0,NA,4,1,1,1,3.33333333333333,"DG.SELF",1,0,NA
1021,486,"Turkana",4,5,1,0.8,0.8,0.2,1,0,0,NA,5,0,1,1,3.33333333333333,"RAG.LOCAL",0,1,14
1021,486,"Turkana",4,5,1,0.8,0.8,0.2,1,0,0,NA,5,0,1,1,3.33333333333333,"RAG.SELF",1,1,14
1021,486,"Turkana",4,5,1,0.8,0.8,0.2,1,0,0,NA,5,0,1,1,3.33333333333333,"DG.LOCAL",0,0,NA
1021,486,"Turkana",4,5,1,0.8,0.8,0.2,1,0,0,NA,5,0,1,1,3.33333333333333,"DG.SELF",1,0,NA
1022,1792,"Hadza",NA,NA,NA,NA,NA,NA,0,NA,0,NA,4,1,NA,NA,NA,"RAG.LOCAL",0,1,18
1022,1792,"Hadza",NA,NA,NA,NA,NA,NA,0,NA,0,NA,4,1,NA,NA,NA,"RAG.SELF",1,1,12
1022,1792,"Hadza",NA,NA,NA,NA,NA,NA,0,NA,0,NA,4,1,NA,NA,NA,"DG.LOCAL",0,0,NA
1022,1792,"Hadza",NA,NA,NA,NA,NA,NA,0,NA,0,NA,4,1,NA,NA,NA,"DG.SELF",1,0,NA
1023,1793,"Hadza",1,2,0,0.5,0.5,0,1,NA,0,NA,1,1,1,0,NA,"RAG.LOCAL",0,1,5
1023,1793,"Hadza",1,2,0,0.5,0.5,0,1,NA,0,NA,1,1,1,0,NA,"RAG.SELF",1,1,5
1023,1793,"Hadza",1,2,0,0.5,0.5,0,1,NA,0,NA,1,1,1,0,NA,"DG.LOCAL",0,0,3
1023,1793,"Hadza",1,2,0,0.5,0.5,0,1,NA,0,NA,1,1,1,0,NA,"DG.SELF",1,0,6
1024,1794,"Hadza",NA,NA,NA,NA,NA,NA,0,NA,0,NA,7,1,NA,1,NA,"RAG.LOCAL",0,1,NA
1024,1794,"Hadza",NA,NA,NA,NA,NA,NA,0,NA,0,NA,7,1,NA,1,NA,"RAG.SELF",1,1,NA
1024,1794,"Hadza",NA,NA,NA,NA,NA,NA,0,NA,0,NA,7,1,NA,1,NA,"DG.LOCAL",0,0,0
1024,1794,"Hadza",NA,NA,NA,NA,NA,NA,0,NA,0,NA,7,1,NA,1,NA,"DG.SELF",1,0,0
1025,1795,"Hadza",NA,NA,NA,NA,NA,NA,0,NA,1,NA,4,1,1,1,NA,"RAG.LOCAL",0,1,NA
1025,1795,"Hadza",NA,NA,NA,NA,NA,NA,0,NA,1,NA,4,1,1,1,NA,"RAG.SELF",1,1,NA
1025,1795,"Hadza",NA,NA,NA,NA,NA,NA,0,NA,1,NA,4,1,1,1,NA,"DG.LOCAL",0,0,3
1025,1795,"Hadza",NA,NA,NA,NA,NA,NA,0,NA,1,NA,4,1,1,1,NA,"DG.SELF",1,0,4
1026,1965,"Lovu Fiji",3,4,2,0.75,1,0.5,0,0,0,NA,6,1,0.5,1,3,"RAG.LOCAL",0,1,19
1026,1965,"Lovu Fiji",3,4,2,0.75,1,0.5,0,0,0,NA,6,1,0.5,1,3,"RAG.SELF",1,1,21
1026,1965,"Lovu Fiji",3,4,2,0.75,1,0.5,0,0,0,NA,6,1,0.5,1,3,"DG.LOCAL",0,0,NA
1026,1965,"Lovu Fiji",3,4,2,0.75,1,0.5,0,0,0,NA,6,1,0.5,1,3,"DG.SELF",1,0,NA
1027,487,"Turkana",0,5,0,0,0.6,0,0,0,0,NA,0,0,1,1,3.33333333333333,"RAG.LOCAL",0,1,12
1027,487,"Turkana",0,5,0,0,0.6,0,0,0,0,NA,0,0,1,1,3.33333333333333,"RAG.SELF",1,1,14
1027,487,"Turkana",0,5,0,0,0.6,0,0,0,0,NA,0,0,1,1,3.33333333333333,"DG.LOCAL",0,0,NA
1027,487,"Turkana",0,5,0,0,0.6,0,0,0,0,NA,0,0,1,1,3.33333333333333,"DG.SELF",1,0,NA
1028,1727,"Hadza",NA,NA,NA,NA,NA,NA,0,NA,0,NA,2,0,1,1,NA,"RAG.LOCAL",0,1,NA
1028,1727,"Hadza",NA,NA,NA,NA,NA,NA,0,NA,0,NA,2,0,1,1,NA,"RAG.SELF",1,1,NA
1028,1727,"Hadza",NA,NA,NA,NA,NA,NA,0,NA,0,NA,2,0,1,1,NA,"DG.LOCAL",0,0,4
1028,1727,"Hadza",NA,NA,NA,NA,NA,NA,0,NA,0,NA,2,0,1,1,NA,"DG.SELF",1,0,4
1029,1966,"Lovu Fiji",2,3,1,0.666666666666667,0.666666666666667,0.333333333333333,1,0,0,NA,1,1,1,1,3.33333333333333,"RAG.LOCAL",0,1,14
1029,1966,"Lovu Fiji",2,3,1,0.666666666666667,0.666666666666667,0.333333333333333,1,0,0,NA,1,1,1,1,3.33333333333333,"RAG.SELF",1,1,13
